"state","period","fatality_rate"
"Fairfield","After",10.7
"Fairfield","Before",12
"Fairfield","Before",9.8
"Fairfield","After",1
"Fairfield","Before",13.1
"Greendale","After",15.9
"Fairfield","Before",12.1
"Fairfield","Before",9.7
"Greendale","Before",17.5
"Fairfield","After",5.9
"Greendale","After",16.7
"Greendale","Before",13.8
"Fairfield","Before",11.2
"Fairfield","After",8
"Greendale","After",18.5
"Fairfield","After",9.9
"Greendale","Before",12.1
"Greendale","After",12.5
"Fairfield","Before",13.2
"Fairfield","Before",11.9
"Fairfield","Before",17.7
"Fairfield","Before",11.8
"Fairfield","Before",11.4
"Fairfield","After",4.6
"Greendale","Before",12.2
"Fairfield","Before",14.7
"Greendale","After",13.6
"Fairfield","After",10.4
"Fairfield","After",10.2
"Greendale","After",11.9
"Greendale","Before",20.1
"Greendale","After",10.6
"Greendale","Before",12.8
"Fairfield","After",9.1
"Greendale","After",13.6
"Greendale","Before",12.8
"Greendale","Before",13.6
"Greendale","Before",14.1
"Fairfield","Before",13
"Fairfield","After",7.7
"Greendale","Before",14.3
"Greendale","After",14.2
"Fairfield","Before",15.4
"Greendale","Before",12.9
"Greendale","Before",19.7
"Fairfield","After",9.3
"Greendale","Before",18.4
"Fairfield","Before",21.1
"Greendale","Before",15
"Greendale","Before",18.7
"Greendale","After",15.8
"Fairfield","Before",13.4
"Fairfield","Before",18.2
"Greendale","After",11
"Fairfield","After",9.8
"Greendale","Before",16.9
"Fairfield","Before",11.1
"Greendale","Before",20.3
"Fairfield","After",12.3
"Fairfield","Before",14.7
"Greendale","After",14.6
"Fairfield","After",16.9
"Fairfield","After",12.7
"Greendale","After",13.5
"Greendale","Before",12.4
"Greendale","After",11.5
"Fairfield","After",9.1
"Greendale","Before",11.5
"Greendale","Before",11.8
"Fairfield","After",11.7
"Fairfield","Before",9.3
"Greendale","Before",17.2
"Greendale","After",15.2
"Greendale","After",16.4
"Fairfield","After",9.3
"Fairfield","After",14.1
"Greendale","After",20.1
"Fairfield","Before",12.1
"Greendale","Before",15.7
"Fairfield","Before",6.6
"Greendale","Before",12.5
"Fairfield","Before",16.8
"Fairfield","Before",10.4
"Fairfield","After",8.9
"Greendale","After",13.6
"Greendale","After",13.9
"Greendale","After",13.2
"Fairfield","After",14.5
"Fairfield","After",10.1
"Fairfield","After",11.2
"Fairfield","Before",12.4
"Greendale","After",15.2
"Greendale","After",16.3
"Fairfield","After",17.1
"Fairfield","After",10.7
"Greendale","After",13
"Greendale","After",13
"Greendale","Before",14.6
"Greendale","After",9.6
"Fairfield","Before",13.6
"Greendale","Before",16.3
"Fairfield","After",14.3
"Greendale","Before",13.2
"Fairfield","After",9.6
"Greendale","After",10.6
"Greendale","Before",20.9
"Greendale","Before",19.3
"Greendale","After",13.1
"Greendale","After",10.8
"Greendale","Before",14.9
